Candidate,Party,Race,JurisdictionName ,County,Votes
 Pos. 2 (term to be determined),Joe Baisch,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,264
 Pos. 3 (term to be determined),Sue Bettinger,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,518
 Pos. 4 (term to be determined),Nichole Black,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,456
 Pos. 5 (term to be determined),Doug Hixson,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,330
 Pos. 5 (term to be determined),Forrest G Towne,Brinnon Parks & Recreation District Commissioner,Brinnon Parks & Recreation District,Jefferson,253
Yes,163,Coyle / Thorndyke Parks & Recreation District No.  Parks & Recreation District No. 1 - Proposition No. 1 Six Year Regular Tax Levy,,Jefferson,56.0137
No,128,Coyle / Thorndyke Parks & Recreation District No.  Parks & Recreation District No. 1 - Proposition No. 1 Six Year Regular Tax Levy,,Jefferson,43.9863
Yes,485998,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,King,54.2581
No,409717,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,King,45.7419
Yes,442195,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,King,48.4061
No,471316,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,King,51.5939
Approved,638939,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,King,67.0044
Rejected,314639,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,King,32.9956
Yes,603892,Statewide Initiative Measure No. 502 Concerns marijuana,,King,63.4925
No,347232,Statewide Initiative Measure No. 502 Concerns marijuana,,King,36.5075
Approved,507573,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,King,60.1484
Rejected,336295,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,King,39.8516
Approved,453499,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,King,51.7015
Rejected,423649,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,King,48.2985
Repealed,379936,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,King,45.8146
Maintained,449355,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,King,54.1854
Repealed,360641,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,King,44.0285
Maintained,458467,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,King,55.9715
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,King,668004
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,King,275700
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,King,12411
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,King,1369
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,King,7264
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,King,411
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,King,367
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,King,1628
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,King,683067
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,King,262034
John Koster,(Prefers Republican Party),Congressional District 1 U.S. Representative,Congressional District 1,King,53969
Suzan DelBene,(Prefers Democratic Party),Congressional District 1 U.S. Representative,Congressional District 1,King,80054
John Koster,(Prefers Republican Party),Congressional District 1 One Month Short Term U.S. Representative,Congressional District 1 One Month Short Term,King,46374
Suzan DelBene,(Prefers Democratic Party),Congressional District 1 One Month Short Term U.S. Representative,Congressional District 1 One Month Short Term,King,82711
Jim McDermott,(Prefers Democratic Party),Congressional District 7 U.S. Representative,Congressional District 7,King,281770
Ron Bemis,(Prefers Republican Party),Congressional District 7 U.S. Representative,Congressional District 7,King,66398
Dave Reichert,(Prefers Republican Party),Congressional District 8 U.S. Representative,Congressional District 8,King,101354
Karen Porterfield,(Prefers Democratic Party),Congressional District 8 U.S. Representative,Congressional District 8,King,77854
Adam Smith,(Prefers Democratic Party),Congressional District 9 U.S. Representative,Congressional District 9,King,185846
Jim Postma,(Prefers Republican Party),Congressional District 9 U.S. Representative,Congressional District 9,King,72282
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,King,590879
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,King,356713
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,King,529218
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,King,364133
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,King,345268
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,King,538986
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,King,619970
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,King,257737
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,King,306553
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,King,558930
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,King,584503
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,King,312409
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,King,626897
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,King,245435
Randy I. Dorn,640363,Washington State Superintendent of Public Instruction,,King,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,King,613284
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,King,253420
Rosemary McAuliffe,(Prefers Democratic Party),Legislative District 1 State Senator,Legislative District 1,King,11647
Dawn McCravey,(Prefers Republican Party),Legislative District 1 State Senator,Legislative District 1,King,8590
Derek Stanford,(Prefers Democratic Party),Legislative District 1 State Representative Pos. 1,Legislative District 1,King,11790
Sandy Guinn,(Prefers Republican Party),Legislative District 1 State Representative Pos. 1,Legislative District 1,King,7832
Luis Moscoso,(Prefers Democratic Party),Legislative District 1 State Representative Pos. 2,Legislative District 1,King,12057
Mark T. Davies,(States No Party Preference),Legislative District 1 State Representative Pos. 2,Legislative District 1,King,6614
Mark Mullet,(Prefers Democratic Party),Legislative District 5 State Senator,Legislative District 5,King,36765
Brad Toft,(Prefers Republican Party),Legislative District 5 State Senator,Legislative District 5,King,30783
Jay Rodne,(Prefers Republican Party),Legislative District 5 State Representative Pos. 1,Legislative District 5,King,47851
Chad Magendanz,(Prefers Republican Party),Legislative District 5 State Representative Pos. 2,Legislative District 5,King,35961
David Spring,(Prefers Democratic Party),Legislative District 5 State Representative Pos. 2,Legislative District 5,King,29156
Bob Hasegawa,(Prefers Democratic Party),Legislative District 11 State Senator,Legislative District 11,King,34301
Kristin Thompson,(Prefers Republican Party),Legislative District 11 State Senator,Legislative District 11,King,15170
Zack Hudgins,(Prefers Democratic Party),Legislative District 11 State Representative Pos. 1,Legislative District 11,King,33501
Jim Flynn,(Prefers Democratic Party),Legislative District 11 State Representative Pos. 1,Legislative District 11,King,9981
Steve Bergquist,(Prefers Democratic Party),Legislative District 11 State Representative Pos. 2,Legislative District 11,King,34695
Sarah Sanoy-Wright,(Prefers Republican Party),Legislative District 11 State Representative Pos. 2,Legislative District 11,King,13847
Linda Kochmar,(Prefers Republican Party),Legislative District 30 State Representative Pos. 1,Legislative District 30,King,22757
Roger Flygare,(Prefers Democratic Party),Legislative District 30 State Representative Pos. 1,Legislative District 30,King,22356
Katrina Asay,(Prefers Republican Party),Legislative District 30 State Representative Pos. 2,Legislative District 30,King,20111
Roger Freeman,(Prefers Democratic Party),Legislative District 30 State Representative Pos. 2,Legislative District 30,King,24895
Cathy Dahlquist,(Prefers Republican Party),Legislative District 31 State Representative Pos. 1,Legislative District 31,King,11327
Brian L. Gunn,(Prefers Democratic Party),Legislative District 31 State Representative Pos. 1,Legislative District 31,King,6793
Christopher Hurst,(Prefers Independent Dem. Party),Legislative District 31 State Representative Pos. 2,Legislative District 31,King,10441
Lisa Connors,(Prefers Republican Party),Legislative District 31 State Representative Pos. 2,Legislative District 31,King,7505
Cindy Ryu,(Prefers Democratic Party),Legislative District 32 State Representative Pos. 1,Legislative District 32,King,26463
Randy J. Hayden,(Prefers Republican Party),Legislative District 32 State Representative Pos. 1,Legislative District 32,King,8074
Ruth Kagi,(Prefers Democratic Party),Legislative District 32 State Representative Pos. 2,Legislative District 32,King,26779
Robert Reedy,(Prefers Republican Party),Legislative District 32 State Representative Pos. 2,Legislative District 32,King,7607
Tina Orwall,(Prefers Democratic Party),Legislative District 33 State Representative Pos. 1,Legislative District 33,King,32698
Will Benge,(Prefers Republican Party),Legislative District 33 State Representative Pos. 1,Legislative District 33,King,12942
Dave Upthegrove,(Prefers Democratic Party),Legislative District 33 State Representative Pos. 2,Legislative District 33,King,31700
Martin Metz,(Prefers Republican Party),Legislative District 33 State Representative Pos. 2,Legislative District 33,King,13818
Eileen L. Cody,(Prefers Democratic Party),Legislative District 34 State Representative Pos. 1,Legislative District 34,King,52001
William Giammarese,(Prefers Democratic Party),Legislative District 34 State Representative Pos. 1,Legislative District 34,King,8538
Joe Fitzgibbon,(Prefers Democratic Party),Legislative District 34 State Representative Pos. 2,Legislative District 34,King,51780
Reuven Carlyle,(Prefers Democratic Party),Legislative District 36 State Representative Pos. 1,Legislative District 36,King,67105
Leslie Klein,(Prefers (R) Hope&change Party),Legislative District 36 State Representative Pos. 1,Legislative District 36,King,8695
Gael Tarleton,(Prefers Democratic Party),Legislative District 36 State Representative Pos. 2,Legislative District 36,King,39564
Noel Christina Frame,(Prefers Democratic Party),Legislative District 36 State Representative Pos. 2,Legislative District 36,King,31273
